"run_id","trt","poiss_ds","fold_chg","eff_siz","trt_middleqi","trt_upperqi","nc_middleqi","nc_upperqi"
"SC3","cmp3000",1.68,1.62,8.1,14.03,18.02,5.93,8.65
"SC5","cmp7957",1.68,2.04,6.23,8.55,11.73,2.31,4.19
"SC7","cmp1196",1.68,1.6,8.33,14.76,18.85,6.43,9.25
"SC7","cmp1611",1.68,1.6,8.34,14.77,18.86,6.43,9.25
"SC7","cmp2944",1.68,1.6,8.34,14.77,18.85,6.43,9.25
"SC9","cmp8506",1.68,1.32,12.83,33.22,39.2,20.39,25.13
"SC9","cmp5177",1.68,1.32,12.8,33.19,39.17,20.39,25.13
"SC9","cmp5862",1.68,1.32,12.8,33.19,39.17,20.39,25.13
"SC12","cmp3729",1.67,1.17,21.69,91.75,101.53,70.06,78.63
"SC15","cmp6814",1.67,1.67,7.63,12.67,16.48,5.04,7.58
"SC20","cmp8873",1.67,1.23,16.9,56.51,64.23,39.61,46.12
"SC3","cmp1039",1.67,1.62,8.04,13.97,17.95,5.93,8.65
"SC3","cmp8278",1.67,1.62,8.06,13.99,17.97,5.93,8.65
"SC4","cmp6560",1.67,1.57,8.48,15.36,19.52,6.89,9.78
